,Modified_claude-sonnet-4-20250514_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelclaude-sonnet-4-20250514
150,"**UI/UX Designer**

Results-driven UI/UX designer with proven experience in creating user-centered digital solutions through academic studies and non-profit charity collaborations. Passionate about leveraging design expertise to bridge the gap between users and technology while delivering innovative, impactful experiences.

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer**
*Academic Studies & Non-Profit Charity Projects*

• Designed and developed comprehensive digital solutions including websites, landing pages, and mobile applications with emphasis on optimal user experience
• Executed strategic UX research initiatives and competitive analysis to identify user requirements and analyze market positioning
• Constructed detailed user personas and engineered targeted design solutions addressing specific user pain points
• Produced high-fidelity wireframes, animated prototypes, and interactive design concepts for diverse client portfolios
• Implemented adaptive website architectures and responsive functionality across multiple devices and platforms
• Generated comprehensive visual asset libraries and graphic materials optimized for web deployment
• Partnered closely with clients throughout design process to ensure alignment between conceptual vision and project deliverables

**TECHNICAL EXPERTISE**

• **Design Platforms:** Figma, Adobe XD, Adobe Photoshop
• **Design Foundation:** Color theory, typography, composition, visual hierarchy
• **User Research:** User analysis, competitive benchmarking, data interpretation, persona creation
• **Prototype Development:** Wireframing, interactive prototyping, motion design
• **Web Technologies:** Responsive design principles, adaptive layouts, landing page optimization

**PROFESSIONAL STRENGTHS**

• Advanced collaborative and cross-functional teamwork capabilities
• Superior organizational skills with proven time management proficiency
• Exceptional performance in high-pressure and deadline-driven environments
• Meticulous attention to detail with consistent quality assurance standards
• Proactive learning approach with dedication to professional development
• Professional communication style fostering positive client relationships

**CAREER OBJECTIVE**

Pursuing UI/UX designer opportunities to contribute design expertise within dynamic team environments. Committed to delivering exceptional results on impactful projects while advancing professional capabilities alongside industry experts."
151,"James
Product Designer

PROFESSIONAL SUMMARY
Goal-driven and self-motivated Product Designer with expertise in creating intuitive interactions and user-centered experiences. Passionate about learning emerging technologies and developing systems that simplify users' lives. Combines diverse technical skills with a keen eye for design and deep understanding of user experience principles to craft engaging digital products that drive results.

CORE COMPETENCIES
• UI/UX Design & Strategy
• Frontend Development (Webflow, WordPress, Shopify)
• User Experience Principles & Research
• Digital Product Design
• Team Leadership & Cross-functional Collaboration
• Creative Problem-solving
• Responsive Web Design

PROFESSIONAL EXPERIENCE

Design Lead | Zuri Team, Inc.
Team 70 Leadership Role
• Spearheaded design initiatives for Team 70 as design lead during competitive internship program
• Orchestrated cross-functional collaboration with diverse team members to deliver successful product launch
• Directed end-to-end design process for ICON CITY project from initial concept through final implementation
• Demonstrated leadership excellence in dynamic, multi-disciplinary team environment

FEATURED PROJECTS

ICON CITY
Responsive Platform for Creative Professionals
• Architected and developed comprehensive responsive platform empowering developers, designers, and creative professionals to generate custom favicons for their projects
• Engineered user-centered design solutions addressing complex technical requirements for creative tools
• Successfully launched functional platform serving diverse user segments across the creative industry

TECHNICAL EXPERTISE
• User Interface Design
• User Experience Design
• Webflow Development
• WordPress Development
• Shopify Development
• Responsive Web Design
• Favicon Generation Tools"
152,"**UI/UX Designer**

**Professional Summary**
Specialized UI/UX Designer with experience developing landing pages, web services, mobile applications, device adaptations, and website redesigns. Expert in user-centered design methodology utilizing competitor analysis, target audience research, and systematic progression from low-fidelity to high-fidelity prototypes. Proven track record of creating intuitive, visually compelling digital experiences that maximize user engagement and deliver measurable business results.

**Core Competencies**
• User research and competitive intelligence analysis
• User persona development and user journey mapping
• Comprehensive prototyping (low-fidelity through high-fidelity)
• Advanced visual design and motion graphics
• Cross-platform responsive design and device optimization
• Technical implementation coordination
• Interface design and interaction architecture
• Conversion-focused user experience optimization

**Professional Experience**

**UI/UX Designer | Handyhelper Web Service**
Spearheaded user experience design for innovative freelance marketplace platform connecting service providers with clients across diverse service categories. Orchestrated complete UX strategy for job seeker interface within agile MVP development environment.

Key Achievements:
• Architected comprehensive user persona framework for job seeker demographic
• Engineered complete user flow infrastructure and navigation architecture
• Delivered high-fidelity interactive prototypes with advanced functionality
• Crafted intuitive user interface prioritizing usability and trust-building elements
• Integrated sophisticated prototype animations to elevate user engagement
• Executed seamless responsive design optimization across tablet and mobile ecosystems

**UI/UX Designer | Mainsail Realty Company Website Redesign**
Transformed real estate platform user experience, revolutionizing property discovery and agent selection workflows with emphasis on clarity and universal device compatibility.

Key Achievements:
• Executed comprehensive competitive market analysis to strengthen positioning strategy
• Architected complete redesign prototype featuring enhanced structural framework
• Reimagined property display cards and review interface systems
• Curated typography selections and established cohesive visual identity framework
• Engineered responsive design solutions optimized for tablet and mobile platforms

**Professional Attributes**
Dynamic learner with exceptional analytical and creative problem-solving expertise. Demonstrates consistent reliability, accountability, and results-driven project management. Proven success in both autonomous and collaborative team dynamics.

**Career Objectives**
Pursuing full-time opportunity with growth-oriented, collaborative team environment focused on innovative project development. Seeking advancement pathways and flexible remote work integration."
153,"**UI/UX Designer**

**Professional Summary**
Results-driven UI/UX Designer with specialized training from Go IT and demonstrated expertise in creating impactful digital experiences. Proven track record in developing landing pages, executing comprehensive website redesigns, and contributing to collaborative web service projects. Seeking a junior web designer role to leverage design skills and contribute to innovative solutions in a dynamic team environment.

**Education**
UI/UX Design Certification - Go IT

**Project Experience**

**Sugaring Landing Page**
Developed a complete landing page solution for a sugaring salon utilizing user-centered design methodologies to optimize user engagement and conversion potential

**Indian Cafe Website Redesign**
Led comprehensive website redesign initiative for an Indian cuisine restaurant, transforming user experience through enhanced visual design and improved navigation architecture

**Animal Stories Web Service**
Contributed to cross-functional development team for web service platform enabling users to locate lost animals, focusing on intuitive user interface design and seamless user experience

**Core Competencies**
- Competitive Analysis & Market Research
- User Persona Development & Jobs To Be Done Framework
- Customer Journey Mapping & Experience Optimization
- Creative Brainstorming & Ideation
- User Flow Architecture
- Wireframing & Prototyping
- Visual Design & Brand Implementation
- Responsive Design & Multi-Device Adaptation

**Career Objectives**
Passionate about applying comprehensive UI/UX design expertise to diverse project portfolios spanning landing pages, websites, web services, and mobile applications. Dedicated to fostering collaborative team growth, driving organizational success, and delivering exceptional design quality that exceeds industry standards."
154,"**UX/UI Designer & Frontend Developer**

**PROFESSIONAL SUMMARY**

Results-driven UX/UI Designer with expertise in creating intuitive, user-centered web and mobile applications. Demonstrated ability to leverage modern design trends and technologies while managing multiple concurrent projects. Committed to delivering efficient interfaces through collaborative teamwork, continuous learning, and innovative problem-solving approaches.

**PROFESSIONAL EXPERIENCE**

**UX/UI Designer & Developer**
• Designed and developed landing pages, web services, and mobile applications for cryptocurrency exchange platforms
• Conducted comprehensive UX research utilizing multiple methodologies to create intuitive, effective user experiences
• Partnered with cross-functional development teams to translate design concepts into successful product implementations

**Graphic Designer & Manager**
Advertising and Printing Agency
• Oversaw end-to-end graphic design project lifecycle and cultivated strategic client relationships
• Produced innovative creative solutions spanning print and digital media channels

**KEY PROJECTS**

**ALTIMA Crypto Exchange Mobile Application**
Independently conceptualized and designed user-friendly cryptocurrency trading platform emphasizing accessibility and reliability. Architected minimalist interface prioritizing intuitive navigation and streamlined user workflows. Integrated advanced verification system leveraging ""ДІЯ"" and facial recognition technology to democratize cryptocurrency trading for diverse user base.

**WashHouse Web Service**
Engineered comprehensive digital platform revolutionizing cleaning service marketplace by connecting clients with service providers. Eliminated traditional booking friction points while implementing secure payment gateway integration, delivering seamless end-to-end user journey optimization.

**TECHNICAL SKILLS**

• **Design Platforms:** Figma, Adobe Creative Suite (Photoshop, Illustrator)
• **Interactive Prototyping:** Protopie for high-fidelity interactive prototype development
• **Visual Design:** Logo development, custom illustrations, comprehensive visual identity systems
• **Frontend Development:** Landing page implementation, web service development, mobile application creation
• **User Experience Research:** Multi-methodological research approaches for user-centered design solutions

**CORE COMPETENCIES**

• User behavior analysis and needs assessment
• Cross-functional team leadership and collaboration
• Concurrent project management and delivery
• Interface optimization and usability enhancement
• Continuous professional growth and technology adaptation

**PROFESSIONAL DEVELOPMENT**

Maintains current industry expertise through Nelson Norman Group research and publications while tracking emerging design methodologies and technological innovations."
155,"Alina
Junior UI/UX Designer

PROFILE
Highly motivated designer with 6 months of experience creating captivating user experiences and aesthetically pleasing solutions. Expertise in web design, market analysis, and user-centered design approaches. Strong collaborator and effective communicator with dedication to staying current with design trends and delivering excellence in every project. Seeking remote opportunities with companies focused on making everyday life and business more efficient and convenient.

TECHNICAL SKILLS
• UI/UX Design & User Experience Research
• Typography & Visual Branding Integration
• Wireframing & Prototyping
• Market Research & Competitor Analysis
• Design Thinking Methodology
• Responsive & Adaptive Design

TOOLS & SOFTWARE
• Figma
• Adobe Photoshop
• Canva

PROJECTS

Beauty Salon Website Design
Conducted comprehensive competitor research and analysis to identify industry improvement opportunities. Created mood boards capturing desired aesthetic and brand essence. Developed detailed wireframes with focus on optimized user experience and navigation. Implemented cohesive visual design incorporating branding elements, color schemes, and typography to deliver engaging, professional website solution.

Cleaning Company Web Service
Performed thorough audience research to understand target market preferences and expectations. Applied Design Thinking methodology through Define, Ideate, and Design phases to develop innovative, user-friendly interface. Created adaptive design ensuring optimal user experience across tablets and mobile devices.

CORE COMPETENCIES
• Design Thinking & User Experience
• Visual Aesthetics & Brand Integration
• Cross-Device Compatibility
• Continuous Learning & Development
• Remote Collaboration
• Client-Focused Solutions"
156,"Anna

Junior UI/UX Designer

PROFILE
Junior UI/UX designer with 6 months of design experience focused on creating quality products for users and businesses. Demonstrated leadership capabilities and proven ability to execute independent projects with strong practical skills in UX research and web design processes.

EXPERIENCE
Team Leader - Web Service for Cleaning Project
• Led cross-functional team in developing comprehensive web service platform connecting users with cleaning, gardening, and service providers
• Conducted thorough competitor analysis and developed detailed user flow documentation
• Created comprehensive user personas, design frameworks, and product specifications
• Implemented prototyping strategies and multi-device adaptation solutions

PROJECTS
Website Redesign - Sophie Scholl Realschule (Independent Project)
• Redesigned educational institution website with focus on modern, user-centered design principles
• Delivered comprehensive aesthetic and functional design solutions emphasizing simplicity and enhanced user comprehension

Landing Page Development (Independent Project)
• Developed complete standalone landing page showcasing comprehensive design capabilities and user experience optimization

SKILLS
• UI/UX Design & Research
• Design Systems & Frameworks
• User Flow Creation & Documentation
• User Persona Development
• Prototyping & Multi-device Adaptation
• Team Leadership & Project Management
• Competitor Analysis & Market Research"
157,"**Bohdan**
UX/UI Designer

**Professional Summary**
Specialized UX/UI designer for web and mobile applications with one year of design training experience and proven team leadership capabilities. Delivered multiple projects emphasizing usability optimization and visually compelling design solutions. Demonstrated expertise in client consultation, user research, and cross-functional collaboration with strong commitment to staying current with emerging design trends and technologies.

**Experience**

**Team Leader | Team Project**
• Directed project development lifecycle and coordinated cross-functional team activities
• Facilitated collaborative workflows with team members to deliver project objectives on schedule

**UX/UI Designer | Personal Projects**

**Architecture Website Project**
• Conducted comprehensive client discovery sessions to define project requirements and strategic site objectives
• Executed in-depth market research and competitive analysis within architecture industry
• Curated and organized high-quality visual content library including photography and video assets
• Architected intuitive site structure with strategically defined sections: portfolio showcase, service offerings, project galleries, and contact integration
• Developed sophisticated design system emphasizing architectural aesthetics through premium photography and seamless navigation patterns

**iPhone Online Store Website**
• Performed detailed analysis of Apple brand guidelines and iOS interface design standards
• Conducted comprehensive product research covering latest iPhone models, technical specifications, and feature sets
• Designed clean, minimalist interface layouts prioritizing visual hierarchy and optimal user experience
• Implemented comprehensive e-commerce functionality featuring detailed product specifications, dynamic pricing, and streamlined purchasing workflows

**Skills**
• UX/UI Design for Web and Mobile Applications
• User Experience Research and Analysis
• Interface Design and Prototyping
• Team Leadership and Project Management
• Client Consultation and Requirements Gathering
• Information Architecture and Site Structure Development
• Brand Analysis and Design System Creation
• Minimalist Design Principles and Visual Hierarchy
• Cross-functional Collaboration and Workflow Management
• Stakeholder Communication and Presentation
• Adaptability to Emerging Technologies and Design Trends

**Professional Approach**
Dedicated to developing digital products that seamlessly integrate outstanding visual design with exceptional user experience. Combines comprehensive understanding of user-centered design principles with demonstrated ability to create aesthetically compelling and functionally intuitive interfaces. Excels in collaborative environments working alongside developers and stakeholders while maintaining receptiveness to feedback and commitment to continuous professional development in the UX/UI field."
158,"LILYA
Junior UI/UX Designer

PROFESSIONAL SUMMARY
Junior UI/UX designer specializing in landing page and web service design development. Currently enrolled in UI/UX design courses at GoIT since March 2023. Background in sales management with proven communication skills, patience, stress resistance, and creativity. Passionate about web design with dedication to delivering exceptional results and pursuing professional growth opportunities in UI/UX design.

EDUCATION
UI/UX Design Courses, GoIT
March 2023 - Present

PROFESSIONAL EXPERIENCE
Sales Manager
• Developed strong communication and relationship-building abilities
• Demonstrated patience and stress resistance in high-pressure environments
• Applied creative problem-solving skills to drive results

PROJECTS

FloverLover Flower Shop Landing Page
• Conducted comprehensive target audience analysis and competitor research
• Developed strategic project moodboard
• Created intuitive landing page prototype
• Designed comprehensive UI Kit for seamless website implementation

Kindergarten Website Redesign
• Updated and modernized website interface to improve user experience
• Enhanced typography and color schemes for better visual appeal
• Performed thorough competitor and target audience analysis
• Created responsive adaptations for mobile and tablet versions

Travel Web Service (In Progress)
• Analyzed user personas and site requirements to inform design decisions
• Developed detailed project prototype
• Conducted competitive analysis to identify market opportunities

CORE COMPETENCIES
• UI/UX Design
• Landing Page Development
• Web Service Design
• Prototype Creation
• User Research & Analysis
• Competitor Analysis
• Mobile-First Design
• Responsive Design
• Communication
• Creative Problem Solving
• Project Management
• Cross-Platform Design"
159,"**Max**
Digital Art & UI/UX Designer

**Profile**
Digital Art and UI/UX designer with over two years of professional experience and eight years of graphic design background. Currently pursuing a degree in Computer Graphics and Design at the University of the Arts since 2018. Experienced in creating comprehensive digital solutions including web interfaces and promotional materials for clients across gaming, veterinary, and other industries.

**Experience**

**Freelance Digital Designer** | 2019 - Present
• Provide digital design services on Ukrainian and Russian freelance platforms since second year of university
• Expanded client reach through UPWork platform beginning 2021
• Design and develop website interfaces and promotional materials for diverse client portfolio
• Created comprehensive web interface and promotional content for gaming client's CS:GO roulette platform launch
• Produced promotional materials featured on online tournament broadcasts and StarLladder
• Developed competition-winning website design for cat adoption center for Zoolux veterinary network
• Construct responsive landing pages on Tilda and Wix platforms tailored to client specifications
• Execute SEO-optimized designs with focus on functionality and mobile device compatibility
• Configure landing page components using Zero block integration on Tilda platform

**Education**
**University of the Arts** | 2018 - Present
Bachelor's Degree in Computer Graphics and Design (In Progress)

**Technical Skills**
**Design Software:**
• Adobe Creative Suite: Photoshop, Illustrator (4 years experience)
• UI/UX Design: Figma, Adobe XD, Sketch, Axure RP (2 years experience)
• Video Production: Adobe Premiere Pro, After Effects, Animate
• Photo Editing: Adobe Photoshop, Lightroom, Camera RAW (4 years experience)

**Web Development:**
• Landing Page Platforms: Tilda, Wix
• SEO Optimization
• Mobile-Responsive Design

**Core Competencies**
• Strong communication and collaboration skills
• Available for test assignments and project evaluations"
160,"**Yana**
UX/UI Designer

**Professional Summary**
Passionate UX/UI designer specializing in modern minimalism and functional design. Proven expertise in competitor analysis, user profiling, and developing comprehensive design solutions from wireframes to interactive prototypes. Versatile designer capable of adapting across multiple design styles while maintaining strong focus on usability and user experience optimization.

**Core Competencies**
• Advanced Figma proficiency (hotkeys, autolayouts, variants, components)
• Adobe Creative Suite (Illustrator, Photoshop)
• Miro collaboration and wireframing
• Design system architecture and component development
• Typography and color theory expertise
• Raster and vector graphics design and manipulation
• Interactive prototype creation and testing
• Responsive and adaptive web design implementation
• User experience optimization and usability principles

**Design Standards & Frameworks**
• Google Material Design Guidelines
• Apple Human Interface Guidelines
• Modern minimalism design methodologies
• Cross-platform design consistency standards

**Project Portfolio**

**Landing Page Design - Sugaring Salon**
• Executed comprehensive competitor analysis to identify market opportunities
• Developed detailed user profiles and personas for target audience segmentation
• Applied advanced color theory and typography principles for optimal visual hierarchy
• Delivered complete landing page design solution meeting client requirements

**Website Redesign Project**
• Designed and developed functional working prototypes and wireframes
• Built comprehensive design system with scalable component kit
• Engineered product cards utilizing advanced autolayout functionality
• Implemented reusable components and variants for systematic design scalability

**Professional Preferences**
• Full-time and part-time position availability
• Remote work capability
• Product companies and e-commerce sector focus
• Social impact and meaningful project engagement
• Collaborative team environments with structured management
• Flexible working arrangement compatibility
• Innovation-driven and cutting-edge project involvement"
161,"Yulia
Junior UI/UX Designer

PROFESSIONAL SUMMARY
Junior UI/UX designer with 4 years of freelance graphic design experience and specialized training in mobile app and UI/UX design. Demonstrated success collaborating with diverse global clients to deliver impactful visual solutions across brand identity, digital content, and user interface design. Combines strong problem-solving capabilities with expertise in team collaboration and client communication.

EXPERIENCE

Freelance Graphic Designer (4 years)
• Partnered with small brands in food manufacturing, clothing and accessories, and local services sectors to develop comprehensive visual strategies
• Designed complete brand identity systems including logos and visually compelling Instagram profiles
• Created multimedia visual content including photography and video to enhance client marketing initiatives
• Enabled successful product promotion on Instagram through strategic visual design implementation

UI Designer - Project Basis
• Designed responsive landing pages, micro-pages, and professional resume layouts for diverse clientele
• Developed presentations to meet internal company specifications and requirements
• Advanced proficiency in UI design principles and Figma through hands-on project experience

EDUCATION

Mobile Apps Design Course - Projector (May 2023)
UX/UI Design Courses - Beetroot Academy (January 2022)

TECHNICAL SKILLS
• Figma
• UI/UX Design
• Brand Identity Design
• Visual Content Creation (Photography & Video)
• Landing Page Design

LANGUAGES
• English (Fluent)
• Polish (Fluent)

CAREER OBJECTIVE
Seeking growth opportunities as a UI/UX designer within a digital creative agency that champions creativity and innovation. Passionate about contributing to diverse projects and collaborating with creative teams to deliver exceptional design solutions that drive client success."
162,"**UI/UX Designer**

Passionate about creating logical, intuitive and modern user experiences and interfaces. I enjoy figuring out how to make user journey smooth and effortless. To accomplish this, I focus on utilizing best UX practices and emphasizing with users' needs.

**Experience**

**UI/UX Certification Project**
• Solved complex design challenges by designing order builder function for responsive website according to stakeholder requirements
• Designed e-commerce website with comprehensive consideration of stakeholder requirements
• Collaborated with six designers during research phase to gather comprehensive user insights
• Performed competitive research and market niche analysis to inform design strategy
• Communicated design decisions and rationale to team and expert mentor during collaborative brainstorming sessions
• Developed and administered user survey for targeted user base to gather actionable insights
• Acquired valuable insights through comprehensive quantitative and qualitative research methodologies
• Created detailed user personas and customer journey maps to guide design decisions
• Developed comprehensive information architecture to optimize user flow and navigation
• Applied business requirements and UX best practices to create logical and intuitive user journeys
• Developed detailed wireframes and interactive prototypes to visualize design concepts
• Incorporated cohesive visual design elements to enhance user experience
• Optimized website design for mobile devices ensuring seamless cross-platform functionality
• Conducted comprehensive usability testing to validate and refine design decisions
• Composed comprehensive UI kit using atomic design methodology for consistency and scalability
• Ensured UI design met all accessibility standards and guidelines

**Technical Skills**
• Advanced proficiency in Figma including FigJam, autolayouts, components and variants, styles, and prototyping
• Expert knowledge of Material Design and Human Interface Guidelines compliance

**Core Competencies**
• Competitive Analysis & Market Research
• SWOT Analysis & Strategic Planning
• User Survey Design & Implementation
• Quantitative & Qualitative Research
• User Persona Development
• Customer Journey Mapping
• Information Architecture Design
• Wireframing & Prototyping
• Usability Testing & Validation
• UI Kit Development
• Desktop User Interface Design
• Mobile User Interface Design (iOS, Android, responsive/adaptive websites)"
163,"**Junior UI/UX Designer**

**Professional Summary**
Junior UI/UX Designer with 6 months of experience creating intuitive and visually appealing digital experiences. Collaborative professional with strong communication skills and dedication to leveraging design as a problem-solving tool to enhance user satisfaction and engagement.

**Education & Certifications**
• Six design course certifications with documented results
• English language certification

**Professional Experience**

**UI/UX Designer** | 6 months

**Rental Agricultural and Construction Equipment Platform**
• Collaborated effectively with cross-functional development and quality assurance teams
• Crafted comprehensive user interface designs encompassing color palettes, typography systems, layout structures, and custom iconography
• Delivered responsive design solutions optimized for desktop, mobile, and tablet experiences
• Executed user experience testing to validate design decisions
• Produced detailed prototypes and high-fidelity mockups

**IT Company Website Redesign Project**
• Partnered with development and QA teams throughout project lifecycle
• Developed complete interface design systems including visual hierarchy, typography standards, and iconographic elements
• Engineered responsive web experiences across multiple device platforms
• Generated interactive prototypes and comprehensive design mockups

**Core Competencies**
• Visual Interface Design (Color Theory, Typography, Layout Architecture, Icon Design)
• Multi-Platform Responsive Design (Desktop, Mobile, Tablet Optimization)
• User Experience Research and Testing
• Interactive Prototyping
• High-Fidelity Mockup Development
• Cross-Functional Team Collaboration
• Technical Communication with Development and QA Teams

**Career Objective**
Pursuing growth opportunities to expand expertise through mentorship from senior professionals, intensive hands-on practice, and progressive experience leading to advancement as a senior UI/UX designer."
164,"**UX/UI Designer**

Highly motivated and versatile UX/UI designer with a successful track record in marketing and communications fields. After completing an IT school and discovering a passion for creating exceptional user experiences, I made the switch to specialize in UX/UI design for web and mobile applications. Leveraging my background in marketing and communications, I bring a unique perspective to design projects, ensuring they not only meet user needs but also align with business objectives.

**PROFESSIONAL EXPERIENCE**

**Communication Strategy Expert**  
ABINBEV, Prague | March 2022 – Present
• Develop and execute strategic communication initiatives to enhance brand positioning and market presence
• Collaborate with cross-functional teams to align messaging with business objectives

**Visual Communication Lecturer**  
OMD Czech, Prague | September 2021 – Present
• Deliver comprehensive instruction on visual communication principles and design methodologies
• Mentor students in developing professional design skills and industry best practices

**SMM Expert**  
March 2021 – Present
• Design and implement social media marketing strategies to drive engagement and brand awareness
• Create compelling visual content and manage social media presence across multiple platforms

**Marketing Manager**  
DOMKYSRDCEM s.r.o, Prague | September 2021 – Present
• Lead comprehensive marketing initiatives and campaign development to drive business growth
• Coordinate marketing activities across multiple channels while managing stakeholder relationships

**Media Planner**  
OMD Czech, Prague | November 2018 – March 2022
• Developed strategic media plans and coordinated advertising campaigns across diverse channels
• Analyzed market trends and consumer behavior to optimize media placement and budget allocation

**KEY PROJECTS**

**AhojStudent.com Web Redesign** (IT School GoIT)  
Redesigned poorly structured website by enhancing content, structure, and visuals to create a more visitor-friendly user experience through comprehensive UX/UI improvements.

**CleanUp Web Service Creation**  
Developed complete web service enabling users to discover and request diverse home assistance services with flexible service category selection and professional matching capabilities.

**SwiftShop - Smart Supermarket Payment App**  
Designed revolutionary payment application to streamline shopping experience and eliminate checkout lines using user-friendly interface design and cutting-edge technology integration.

**CORE COMPETENCIES**
• UX/UI Design for Web and Mobile Applications
• Strategic Communication and Brand Development
• Social Media Marketing and Content Creation
• Visual Communication and Design Methodology
• Media Planning and Campaign Management
• Cross-functional Team Collaboration

**PROFESSIONAL VALUES**
• Career growth opportunities
• Remote work flexibility  
• Training and development programs
• Flexible and friendly work atmosphere"
165,"**UI/UX Designer**

**Profile**
Junior UI/UX Designer specializing in web and mobile applications with expertise in prototype creation, target audience research, and design implementation. Currently advancing skills through studies at international EdTech company ""GoIT"". Seeking opportunities to contribute to a collaborative team environment while continuing professional growth in UI/UX design.

**Experience & Projects**

**Medical Service - Team Project**
Contributed to development of comprehensive medical web service facilitating doctor-patient interactions. Platform enables patients and doctors to access medical history, schedule appointments and lab tests, and maintain 24/7 communication through integrated chat functionality. Service includes automated conversation recording and report generation capabilities for medical consultations.

**Tattoo Studio Website Redesign**
Executed complete redesign cycle for tattoo studio website addressing outdated visual presentation, poor text readability, and low-quality imagery. Conducted competitor analysis and target audience research prior to project initiation. Developed prototypes and comprehensive UI kit. Delivered responsive design optimized for desktop, mobile, and tablet platforms.

**Flower Shop Landing Page**
Designed complete landing page solution for flower shop including competitor analysis, color palette selection, and typography implementation. Created responsive design with desktop primary focus and mobile/tablet adaptations.

**Core Competencies**
• Prototype Development & User Experience Design
• Target Audience Research & User Analysis
• Web & Mobile Application Design
• Competitive Market Analysis
• Cross-Platform Responsive Design (Desktop, Mobile, Tablet)
• UI Kit Development & Design Systems

**Education**
Currently studying at GoIT (International EdTech Company)"
166,"**Junior UX/UI Designer**

Creative and responsible Junior UX/UI Designer with expertise in prototyping, landing page design, website redesign, and mobile application development. Skilled in user-centered design processes with proficiency in Figma, Adobe Photoshop, and Adobe Illustrator. Experienced in team leadership and collaborative project execution.

**Professional Experience**

**Team Leader | ""PawPatrol"" Web Service**
Led cross-functional 2-person team in developing comprehensive web service for lost pet advertisement platform. Managed project deliverables, team coordination, and end-to-end design process while demonstrating strong leadership and collaborative skills.

• Conducted user research and developed detailed user personas
• Created comprehensive user flows and Jobs-to-be-Done frameworks
• Designed wireframes, prototypes, and complete UI systems
• Developed style guides, UI kits, and responsive design adaptations
• Managed UI development process and case design documentation

**UX/UI Designer | ""Cucina de Caterina"" Italian Sauce Store Website Redesign**
Redesigned e-commerce website for Italian sauce retailer, focusing on enhanced user experience, improved information architecture, and streamlined product discovery to optimize purchasing decisions.

• Conducted competitive analysis and user research
• Developed wireframes and interactive prototypes
• Created cohesive UI design system and comprehensive UI kit
• Implemented responsive design adaptations across platforms

**UX/UI Designer | ""eChair"" Gaming Chairs Landing Page**
Designed conversion-focused landing page for gaming chair sales, emphasizing user experience optimization and purchase funnel enhancement.

• Performed user research and market analysis
• Developed wireframes and high-fidelity prototypes
• Created targeted UI design and comprehensive UI kit

Available for remote work opportunities with collaborative teams on engaging projects."
167,"**UI/UX Designer**

**Professional Summary**
Versatile UI/UX designer with comprehensive background spanning design, photography, interior design, and finance. Brings over 13 years of proven team leadership experience and cross-disciplinary expertise to create holistic design solutions. Passionate about all design disciplines with demonstrated ability to leverage emerging technologies, including neural networks, to optimize design workflows and enhance productivity.

**Core Competencies**
- UI/UX Design & User Research
- Graphic Design & Commercial Photography
- Team Leadership & Project Management
- Brand Identity & Logo Development
- Wireframing & Interactive Prototyping
- Photo Retouching & Vector Illustration
- Print Design & Publication Layout
- Fintech Product Development Expertise

**UI/UX Design Portfolio**

**Mobile Photography Platform**
- Architected and designed comprehensive mobile application connecting users with professional photographers across multiple metropolitan markets
- Executed complete product development cycle including strategic concept development, brand naming, logo design, UX research, high-fidelity wireframes, UI implementation, and interactive prototype animation

**Travel Accommodation Web Platform**
- Conceptualized and designed innovative web platform enabling service-based housing exchanges for travelers
- Delivered end-to-end design solutions encompassing concept development, brand naming, logo creation, comprehensive UX research, detailed wireframes, and polished UI design

**Featured Projects**
- Mobile Application: ""LensLink""
- Web Platform: ""Sleep for Sweat""

**Graphic Design & Photography Experience (8+ Years)**
- Corporate Brand Development: comprehensive logo systems, professional letterheads, business card design
- Print Media Design: promotional calendars, presentation boards, marketing flyers, book layout and typography
- Custom vector illustration and iconography
- Commercial photography and advertising campaign imagery
- Advanced photo retouching and digital enhancement
- Specialized photography services: newborn portraits, family sessions, fine art photography

**Professional Objective**
Seeking to leverage extensive design expertise and leadership experience as a contributing team member in a dynamic professional environment that offers opportunities for continued growth, skill advancement, and career development."
168,"**Web Designer**
Lviv | Seeking Full-Time Position

**EDUCATION**
Master's Degree in Musical Art | 2016-2022

**PROFESSIONAL EXPERIENCE**

**Web Design Intern | Sigma Software**
• Designed online portal for social initiatives and donations utilizing UI/UX design principles
• Identified design issues and proposed practical solutions in collaborative team environment
• Conducted consumer research and analysis to inform design decisions
• Led ideation, brainstorming, and sketching sessions for concept development
• Created prototypes and concept visualizations for stakeholder review
• Delivered high-fidelity wireframes, mockups, and interactive prototypes optimized for multiple devices and interfaces
• Developed presentations for proof of concept and implementation phases
• Facilitated smooth project transition from design to development stage

**TECHNICAL SKILLS**
• UI/UX Design
• HTML & CSS
• Mobile Application Design
• Website Design
• Wireframing & Prototyping
• Cross-device Interface Optimization
• iOS Design Guidelines (in progress)
• Material Design Guidelines (in progress)

**CORE COMPETENCIES**
• Consumer Research & Analysis
• Concept Visualization
• Team Collaboration
• Problem-Solving
• Continuous Learning & Professional Development
• Design Trend Analysis

**PORTFOLIO**
Examples of mobile applications and websites available on Behance and Instagram"
